Volcano Name,Country,Location,Latitude,Longitude,Elevation (m)
,,,,,
Central Bismarck Sea,United States,Admiralty Is-SW Paci,-3.03,147.78,-1300
Nyamulagira,"Congo, DRC",Africa-C,-1.408,29.2,3058
Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470
"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962
Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298
Erta Ale,Ethiopia,Africa-NE,13.6,40.67,613
Cameroon,Cameroon,Africa-W,4.203,9.17,4095
Chiginagak,United States,Alaska Peninsula,57.135,-156.99,2221
Kupreanof,United States,Alaska Peninsula,56.011,-159.797,1895
Pavlof,United States,Alaska Peninsula,55.417,-161.894,2493
Trident,United States,Alaska Peninsula,58.236,-155.1,1864
Ukinrek Maars,United States,Alaska Peninsula,57.832,-156.51,91
Veniaminof,United States,Alaska Peninsula,56.17,-159.38,2507
Augustine,United States,Alaska-SW,59.363,-153.43,1252
Redoubt,United States,Alaska-SW,60.485,-152.742,3108
Spurr,United States,Alaska-SW,61.299,-152.251,3374
Akutan,United States,Aleutian Is,54.134,-165.986,1303
Amukta,United States,Aleutian Is,52.5,-171.252,1066
Bogoslof,United States,Aleutian Is,53.93,-168.03,150
Cleveland,United States,Aleutian Is,52.825,-169.944,1730
Makushin,United States,Aleutian Is,53.891,-166.923,1800
Okmok,United States,Aleutian Is,53.43,-168.13,1073
Seguam,United States,Aleutian Is,52.315,-172.51,1054
Shishaldin,United States,Aleutian Is,54.756,-163.97,2857
Unnamed,United States,Aleutian Is,52,-173.5,0
Westdahl,United States,Aleutian Is,54.516,-164.65,1563
Barren Island,India,Andaman Is-Indian O,12.278,93.858,354
Pular,Argentina,Argentina,-24.188,-68.054,6233
Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.082,-8.155,2197
Walvis Ridge at 33°S,Atlantic Ocean,Atlantic-S,-32.958,-5.22,-1200
Nightingale Island,United Kingdom,Atlantic-S,-37.42,-12.48,365
Macdonald,Antarctica,Austral Is-C Pacific,-28.98,-140.25,-39
Terceira,Portugal,Azores,38.73,-27.32,1023
Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,596
Nila,Pacific Ocean,Banda Sea,-6.73,129.5,781
Bagana,Papua New Guinea,Bougainville-SW Paci,-6.137,155.196,1855
La Palma,Spain,Canary Is,28.57,-17.83,2426
Fogo,Cape Verde,Cape Verde Is,14.95,-24.35,2829
"Azul, Cerro",Chile,Chile-C,-35.653,-70.761,3788
Callaqui,Chile,Chile-C,-37.92,-71.45,3164
Carran-Los Venados,Chile,Chile-C,-40.35,-72.07,1114
"Chillan, Nevados de",Chile,Chile-C,-36.868,-71.378,3180
Copahue,Chile,Chile-C,-37.856,-71.183,2953
Llaima,Chile,Chile-C,-38.692,-71.729,3125
Lonquimay,Chile,Chile-C,-38.379,-71.586,2832
Planchon-Peteroa,Chile,Chile-C,-35.223,-70.568,3977
Tupungatito,Chile,Chile-C,-33.425,-69.797,5660
Villarrica,Chile,Chile-C,-39.42,-71.93,2847
Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163
Lascar,Chile,Chile-N,-23.37,-67.73,5592
Putana,Chile,Chile-N,-22.557,-67.853,5884
Chaiten,Chile,Chile-S,-42.833,-72.646,1122
"Hudson, Cerro",Chile,Chile-S,-45.9,-72.97,1905
Galeras,Colombia,Colombia,1.22,-77.37,4276
Purace,Colombia,Colombia,2.32,-76.4,4650
"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279
Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670
Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432
Poas,Costa Rica,Costa Rica,10.2,-84.233,2708
Rincon de la Vieja,Costa Rica,Costa Rica,10.83,-85.324,1916
Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784
Reventador,Ecuador,Ecuador,-0.077,-77.656,3562
Sangay,Ecuador,Ecuador,-2.005,-78.341,5286
Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023
